init_node,term_node,capacity,length,free_flow_time,b,power,simu_g/c,gamma,n',neta,no_signal,accurate_g/c
86,37,1839,0.66624,0.66624,0.15,4,0.25,0.8,3.2,1,,
86,80,3451,1.74229,1.74229,0.15,4,0.25,0.8,3.2,1,,
86,84,1543,0.4685,0.4685,0.15,4,0.25,0.8,3.2,1,,
86,85,1345,0.33594,0.33594,0.15,4,0.25,0.8,3.2,1,,
87,83,1858,0.36865,0.36865,0.15,4,0.333333333,0.8,3.2,1,,
87,88,1483,0.18103,0.18103,0.15,4,0.333333333,0.8,3.2,1,,
87,91,1692,0.28563,0.28563,0.15,4,0.333333333,0.8,3.2,1,,
88,87,1483,0.18103,0.18103,0.15,4,0.333333333,0.8,3.2,1,,
88,89,1548,0.21326,0.21326,0.15,4,0.333333333,0.8,3.2,1,,
88,92,1724,0.30149,0.30149,0.15,4,0.333333333,0.8,3.2,1,,
89,83,3216,0.51192,0.51192,0.15,4,0.5,0.8,3.2,1,,
89,90,3422,0.58083,0.58083,0.15,4,0.5,0.8,3.2,1,,
90,89,2282,0.58083,0.58083,0.15,4,0.333333333,0.8,3.2,1,,
90,93,1965,0.4221,0.4221,0.15,4,0.333333333,0.8,3.2,1,,
90,95,3101,0.99099,0.99099,0.15,4,0.333333333,0.8,3.2,1,,
91,87,2538,0.28563,0.28563,0.15,4,0.5,0.8,3.2,1,,
91,92,2249,0.18909,0.18909,0.15,4,0.5,0.8,3.2,1,,
92,88,1293,0.30149,0.30149,0.15,4,0.25,0.8,3.2,1,,
92,91,1125,0.18909,0.18909,0.15,4,0.25,0.8,3.2,1,,
92,93,2048,0.80546,0.80546,0.15,4,0.25,0.8,3.2,1,,
92,103,3408,1.71382,1.71382,0.15,4,0.25,0.8,3.2,1,,
93,90,1474,0.4221,0.4221,0.15,4,0.25,0.8,3.2,1,,
93,92,2048,0.80546,0.80546,0.15,4,0.25,0.8,3.2,1,,
93,94,2346,1.00442,1.00442,0.15,4,0.25,0.8,3.2,1,,
93,100,2047,0.80468,0.80468,0.15,4,0.25,0.8,3.2,1,,
94,93,2346,1.00442,1.00442,0.15,4,0.25,0.8,3.2,1,,
94,95,1404,0.37531,0.37531,0.15,4,0.25,0.8,3.2,1,,
